Championship,Team A,Team B,Score,Time,Date
مباريات ودية - منتخبات,غانـــا,سويسرا,2 - 0,12:00,11/17/2022
مباريات ودية - منتخبات,اليــــابان,كندا,1 - 2,15:40,11/17/2022
مباريات ودية - منتخبات,الأردن,إسبانيا,1 - 3,18:00,11/17/2022
مباريات ودية - منتخبات,المغرب,جورجيا,3 - 0,18:00,11/17/2022
مباريات ودية - منتخبات,البرتغال,نيجيريا,4 - 0,20:45,11/17/2022
الدوري الإنجليزي,برايتون,استون فيلا,1 - 2,16:00,11/13/2022
الدوري الإنجليزي,فولهام,مانشستر يونايتد,1 - 2,18:30,11/13/2022
الدوري الفرنسي,ب. س. جيرمان,اوكسير,5 - 0,14:00,11/13/2022
الدوري الفرنسي,ليل,أنجيه,1 - 0,16:00,11/13/2022
الدوري الفرنسي,مونبيليه,ريمس,1 - 1,16:00,11/13/2022
الدوري الفرنسي,بريست,تروا,2 - 1,16:00,11/13/2022
الدوري الفرنسي,نانت,اجاكسيو,2 - 2,16:00,11/13/2022
الدوري الفرنسي,ستراسبورج,لوريان,1 - 1,18:05,11/13/2022
الدوري الفرنسي,موناكو,مارسيليا,2 - 3,21:45,11/13/2022
الدوري الإيطالي,أتالانتا,إنتر ميلان,2 - 3,13:30,11/13/2022
الدوري الإيطالي,روما,تورينو,1 - 1,16:00,11/13/2022
الدوري الإيطالي,هيلاس فيرونا,سبيزيا كالتشو,1 - 2,16:00,11/13/2022
الدوري الإيطالي,مونزا,ساليرنيتانا,3 - 0,16:00,11/13/2022
الدوري الإيطالي,ميلان,فيورنتينا,2 - 1,19:00,11/13/2022
الدوري الإيطالي,يوفنتوس,لاتسيو,3 - 0,21:45,11/13/2022
الدوري الألماني,ماينز,آ. فرانكفورت,1 - 1,16:30,11/13/2022
الدوري الألماني,فرايبورج,يونيون برلين,4 - 1,18:30,11/13/2022
الدوري التركي,فاتح كاراجومروك,غازي عنتاب بي.بي.كي,3 - 3,13:30,11/13/2022
الدوري التركي,قيصري سبور,قونيا سبور,1 - 2,16:00,11/13/2022
الدوري التركي,إسطنبول سبور,هاتاي سبور,0 - 1,16:00,11/13/2022
الدوري البرتغالي,فيتوريا جيماريش,ماريتيمو,1 - 0,17:30,11/13/2022
الدوري البرتغالي,باكوس فيريرا,فيزيلا,0 - 2,17:30,11/13/2022
الدوري البرتغالي,كازا بيا,شافيش,1 - 2,20:00,11/13/2022
الدوري البرتغالي,بنفيكا,جل فيسنتي,3 - 1,20:00,11/13/2022
الدوري البرتغالي,بورتيمونينسي,سبورتينج براجا,1 - 2,20:00,11/13/2022
الدوري البرتغالي,فاماليكاو,سبورتينج لشبونة,1 - 2,22:30,11/13/2022
الدوري البرتغالي,سانتا كلارا,إستوريل,3 - 1,22:15,11/14/2022
الدوري المغربي,المغرب التطواني,الجيش الملكي,0 - 2,21:00,11/14/2022
كأس العالم,تونس,فرنسا,1 - 0,17:00,11/30/2022
كأس العالم,أستراليا,الدنمارك,1 - 0,17:00,11/30/2022
كأس العالم,بولندا,الأرجنتين,0 - 2,21:00,11/30/2022
كأس العالم,السعودية,المكسيك,1 - 2,21:00,11/30/2022
الدوري المصري,حرس الحدود,بيراميدز,0 - 1,14:45,11/30/2022
الدوري المصري,البنك الاهلي,إنبي,2 - 3,14:45,11/30/2022
